Código;Município;Área (km²);Densidade demográfica, 2000;Distância à capital (km);Esperança de vida ao nascer, 2000;Taxa de fecundidade total, 2000;Renda per Capita, 2000;Índice de Gini, 2000;Intensidade da indigência, 2000;Intensidade da pobreza, 2000;Índice de Desenvolvimento Humano Municipal, 2000;Taxa bruta de freqüência à escola, 2000;Taxa de alfabetização, 2000;Média de anos de estudo das pessoas de 25 anos ou mais de idade, 2000;Populacao;QTD_TOTAL_CNPJ_SUPERMERCADO;Variacao_Populacao_1991_a_2000;Percentual_Populacao_65_anos;Percentual_Populacao_Urbana;Populacao por Supermercados;cluster
351840;Guaratinguetá (SP);753.3;138.1;168.3513976;70.64;2.08;401.02;0.58;55.03;39.94;0.818;85.47;95.32;7.36;104219;333.0;0.1328398443444423;0.0661683570174344;0.9514771778658402;312.96996996996995;2
351870;Guarujá (SP);143.0;1854.2;62.75707735;69.93;2.32;308.41;0.53;66.01;47.42;0.788;82.53;91.55;6.04;264812;502.0;0.2597677527389668;0.0419316345180732;0.9997016751506728;527.5139442231076;0
351880;Guarulhos (SP);317.9;3369.9;14.11985556;69.27;2.15;343.91;0.55;74.42;50.64;0.798;84.58;93.7;6.65;1072717;1924.0;0.3634961995068255;0.0360980575491951;0.9785134383066548;557.5452182952183;0
351907;Hortolândia (SP);62.4;2430.6;97.14002864;72.2;2.34;259.1;0.46;70.49;48.7;0.79;80.07;92.4;5.66;152523;138.0;0.7028547823465707;0.035175022783449;1.0;1105.2391304347825;0
312980;Ibirité (MG);73.3;1812.3;25.19326735;68.42;2.61;149.59;0.45;54.46;44.81;0.729;75.09;90.74;4.8;133044;201.0;0.7356659230558491;0.0277126364210336;0.9946709359309702;661.9104477611941;0
291360;Ilhéus (BA);1847.7;120.1;210.186769;66.13;2.21;170.22;0.64;42.29;47.9;0.703;79.65;79.4;4.97;222127;484.0;-0.0209709764858849;0.0499218915305208;0.7298752515452872;458.9400826446281;3
210530;Imperatriz (MA);1538.1;149.8;484.2580806;64.38;2.68;193.11;0.61;44.23;42.4;0.722;89.99;83.99;5.42;230566;926.0;0.0247150063331926;0.041415473226755;0.9484182403303176;248.9913606911447;2
352050;Indaiatuba (SP);311.3;471.7;78.21207254;72.89;1.94;444.93;0.56;67.71;43.38;0.829;82.08;93.7;6.53;147050;233.0;0.4566905733645046;0.0551105066303978;0.9842910574634478;631.1158798283262;1
313130;Ipatinga (MG);166.0;1279.4;153.4831379;72.24;1.96;307.71;0.56;53.5;43.05;0.806;84.62;92.9;6.49;212496;546.0;0.1800809689618978;0.0390407348844213;0.9924657405315864;389.1868131868132;0
330190;Itaboraí (RJ);428.6;436.4;39.87265097;67.5;2.39;202.29;0.52;60.04;46.88;0.737;74.62;89.24;5.19;187479;478.0;0.332265033185998;0.0489334805498215;0.945492561833592;392.2154811715481;1
291480;Itabuna (BA);444.8;441.7;218.0758421;68.95;2.21;207.4;0.64;50.54;47.75;0.748;84.57;84.86;5.71;196675;696.0;0.0615186990290215;0.0583399008516588;0.9720808440320324;282.57902298850576;1
420820;Itajaí (SC);303.6;485.7;77.37115123;73.18;1.93;387.0;0.55;71.61;39.69;0.825;81.67;95.03;6.74;147494;449.0;0.226785773696643;0.0498935549920674;0.9624120303198774;328.4944320712695;1
352220;Itapecerica da Serra (SP);151.8;850.8;28.68518054;70.69;2.44;277.24;0.56;68.36;52.17;0.783;80.95;91.14;5.61;129685;206.0;0.5158971361776739;0.029533099433242;0.9895284728380306;629.5388349514564;1
352230;Itapetininga (SP);1796.2;69.7;144.4029518;69.88;2.4;324.08;0.56;52.25;39.06;0.786;75.34;93.11;6.55;125559;299.0;0.2360359118741508;0.0634602059589515;0.8931020476429408;419.9297658862876;2
352250;Itapevi (SP);91.6;1773.2;30.3563172;69.21;2.91;207.18;0.51;68.2;50.86;0.759;80.27;91.22;5.42;162433;198.0;0.5357044936702877;0.0268295235574052;1.0;820.3686868686868;0
352310;Itaquaquecetuba (SP);82.0;3322.1;30.14237244;67.1;2.94;193.01;0.5;72.13;52.7;0.744;82.27;90.81;5.23;272942;327.0;0.6546251447346885;0.025056605432656;1.0;834.6850152905199;0
352390;Itu (SP);641.6;210.9;74.61258696;71.53;2.25;421.15;0.57;68.7;46.79;0.815;81.06;92.53;6.38;135366;236.0;0.2614011219412191;0.0589143507232244;0.9156065777226188;573.5847457627119;2
